id,source_type,source_id,relation,target_type,target_id,confidence,provenance
edge_0098522,Evidence,ev_biochem_004121_752a694068,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098523,Evidence,ev_biochem_004121_752a694068,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098524,Evidence,ev_biochem_004121_752a694068,MENTIONS_TOPIC,Topic,topic_liver_injury,0.8,kb_pdf
edge_0098525,Evidence,ev_biochem_004121_752a694068,SUPPORTS,Condition,cond_hepatocellular_injury,0.75,kb_pdf
edge_0098526,Evidence,ev_biochem_004121_752a694068,SUPPORTS,Condition,cond_liver_injury,0.75,kb_pdf
edge_0098527,Evidence,ev_biochem_004122_5d6f3f3a16,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098528,Evidence,ev_biochem_004122_5d6f3f3a16,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098529,Evidence,ev_biochem_004122_5d6f3f3a16,MENTIONS_TEST,Test,test_K,0.95,kb_pdf
edge_0098530,Evidence,ev_biochem_004122_5d6f3f3a16,MENTIONS_TOPIC,Topic,topic_purine_metabolism,0.8,kb_pdf
edge_0098531,Evidence,ev_biochem_004122_5d6f3f3a16,SUPPORTS,Condition,cond_gout_risk,0.75,kb_pdf
edge_0098532,Evidence,ev_biochem_004122_5d6f3f3a16,SUPPORTS,Condition,cond_hyperuricemia,0.75,kb_pdf
edge_0098533,Evidence,ev_biochem_004123_a38844795d,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098534,Evidence,ev_biochem_004123_a38844795d,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098535,Evidence,ev_biochem_004123_a38844795d,MENTIONS_TOPIC,Topic,topic_liver_injury,0.8,kb_pdf
edge_0098536,Evidence,ev_biochem_004123_a38844795d,SUPPORTS,Condition,cond_hepatocellular_injury,0.75,kb_pdf
edge_0098537,Evidence,ev_biochem_004123_a38844795d,SUPPORTS,Condition,cond_liver_injury,0.75,kb_pdf
edge_0098538,Evidence,ev_biochem_004124_c66659c22a,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
edge_0098539,Evidence,ev_biochem_004124_c66659c22a,BELONGS_TO_PANEL,Panel,panel_biochem,1.0,kb_pdf
edge_0098540,Evidence,ev_biochem_004125_2bd62600dd,FROM_SOURCE,Source,src_henry_pdf,0.98,kb_pdf
